Budget_ID,State,Country
B000001,Washington,USA
B000002,California,USA
B000003,Florida,USA
B000004,Illinois,USA
B000005,Ohio,USA
B000006,Georgia,USA
B000007,North Carolina,USA
B000008,Massachusetts,USA
B000009,Texas,USA
B000010,Georgia,USA
B000011,Florida,USA
B000012,New York,USA
B000013,Washington,USA
B000014,Arizona,USA
B000015,Florida,USA
B000016,New York,USA
B000017,Georgia,USA
B000018,Arizona,USA
B000019,New Jersey,USA
B000020,Massachusetts,USA
B000021,Ohio,USA
B000022,Illinois,USA
B000023,Massachusetts,USA
B000024,Arizona,USA
B000025,Texas,USA
B000026,Florida,USA
B000027,Arizona,USA
B000028,Massachusetts,USA
B000029,Georgia,USA
B000030,Florida,USA
B000031,Florida,USA
B000032,Massachusetts,USA
B000033,New York,USA
B000034,Arizona,USA
B000035,Georgia,USA
B000036,Washington,USA
B000037,North Carolina,USA
B000038,Arizona,USA
B000039,Tennessee,USA
B000040,Massachusetts,USA
B000041,Tennessee,USA
B000042,North Carolina,USA
B000043,California,USA
B000044,New York,USA
B000045,Texas,USA
B000046,New Jersey,USA
B000047,Ohio,USA
B000048,Georgia,USA
B000049,North Carolina,USA
B000050,Michigan,USA
B000051,New York,USA
B000052,California,USA
B000053,Texas,USA
B000054,Florida,USA
B000055,Illinois,USA
B000056,California,USA
B000057,Michigan,USA
B000058,Michigan,USA
B000059,California,USA
B000060,Virginia,USA
B000061,Washington,USA
B000062,California,USA
B000063,Arizona,USA
B000064,Massachusetts,USA
B000065,Florida,USA
B000066,Ohio,USA
B000067,Texas,USA
B000068,New Jersey,USA
B000069,Texas,USA
B000070,California,USA
B000071,Texas,USA
B000072,Washington,USA
B000073,Washington,USA
B000074,Tennessee,USA
B000075,Illinois,USA
B000076,North Carolina,USA
B000077,Illinois,USA
B000078,Illinois,USA
B000079,New Jersey,USA
B000080,Washington,USA
B000081,Florida,USA
B000082,Florida,USA
B000083,Michigan,USA
B000084,Georgia,USA
B000085,Arizona,USA
B000086,Florida,USA
B000087,Ohio,USA
B000088,New York,USA
B000089,Georgia,USA
B000090,Massachusetts,USA
B000091,Arizona,USA
B000092,Washington,USA
B000093,Georgia,USA
B000094,Massachusetts,USA
B000095,New Jersey,USA
B000096,New York,USA
B000097,Arizona,USA
B000098,North Carolina,USA
B000099,Arizona,USA
B000100,New Jersey,USA
B000101,North Carolina,USA
B000102,Washington,USA
B000103,Tennessee,USA
B000104,Texas,USA
B000105,Massachusetts,USA
B000106,Michigan,USA
B000107,Massachusetts,USA
B000108,Georgia,USA
B000109,Arizona,USA
B000110,Massachusetts,USA
B000111,New Jersey,USA
B000112,North Carolina,USA
B000113,Tennessee,USA
B000114,Georgia,USA
B000115,North Carolina,USA
B000116,Florida,USA
B000117,Georgia,USA
B000118,Illinois,USA
B000119,Arizona,USA
B000120,New Jersey,USA
B000121,Florida,USA
B000122,California,USA
B000123,Texas,USA
B000124,New York,USA
B000125,Georgia,USA
B000126,Arizona,USA
B000127,New Jersey,USA
B000128,Tennessee,USA
B000129,California,USA
B000130,Illinois,USA
B000131,California,USA
B000132,Illinois,USA
B000133,Tennessee,USA
B000134,Michigan,USA
B000135,New York,USA
B000136,Texas,USA
B000137,North Carolina,USA
B000138,California,USA
B000139,Arizona,USA
B000140,Virginia,USA
B000141,Texas,USA
B000142,Georgia,USA
B000143,Texas,USA
B000144,Virginia,USA
B000145,New Jersey,USA
B000146,Michigan,USA
B000147,Virginia,USA
B000148,Michigan,USA
B000149,Virginia,USA
B000150,Illinois,USA
B000151,New York,USA
B000152,Arizona,USA
B000153,Illinois,USA
B000154,Michigan,USA
B000155,Tennessee,USA
B000156,Florida,USA
B000157,Georgia,USA
B000158,New York,USA
B000159,Michigan,USA
B000160,Texas,USA
B000161,Virginia,USA
B000162,Virginia,USA
B000163,Texas,USA
B000164,Georgia,USA
B000165,Washington,USA
B000166,Ohio,USA
B000167,New York,USA
B000168,North Carolina,USA
B000169,Virginia,USA
B000170,North Carolina,USA
B000171,North Carolina,USA
B000172,Georgia,USA
B000173,Georgia,USA
B000174,North Carolina,USA
B000175,Florida,USA
B000176,Tennessee,USA
B000177,Ohio,USA
B000178,New York,USA
B000179,Tennessee,USA
B000180,Massachusetts,USA
B000181,Washington,USA
B000182,Arizona,USA
B000183,Washington,USA
B000184,Florida,USA
B000185,Virginia,USA
B000186,Texas,USA
B000187,Florida,USA
B000188,Washington,USA
B000189,Texas,USA
B000190,Florida,USA
B000191,Ohio,USA
B000192,Florida,USA
B000193,Florida,USA
B000194,New York,USA
B000195,Florida,USA
B000196,Illinois,USA
B000197,Texas,USA
B000198,Ohio,USA
B000199,Washington,USA
B000200,North Carolina,USA
B000201,Virginia,USA
B000202,Texas,USA
B000203,New York,USA
B000204,Ohio,USA
B000205,Georgia,USA
B000206,Georgia,USA
B000207,Washington,USA
B000208,Virginia,USA
B000209,Texas,USA
B000210,Michigan,USA
B000211,Massachusetts,USA
B000212,Texas,USA
B000213,Ohio,USA
B000214,Arizona,USA
B000215,Virginia,USA
B000216,Illinois,USA
B000217,Massachusetts,USA
B000218,California,USA
B000219,New York,USA
B000220,Tennessee,USA
B000221,Illinois,USA
B000222,Florida,USA
B000223,Virginia,USA
B000224,New Jersey,USA
B000225,Ohio,USA
B000226,Michigan,USA
B000227,Massachusetts,USA
B000228,Georgia,USA
B000229,California,USA
B000230,Texas,USA
B000231,Texas,USA
B000232,Texas,USA
B000233,Washington,USA
B000234,Illinois,USA
B000235,North Carolina,USA
B000236,Virginia,USA
B000237,Texas,USA
B000238,Ohio,USA
B000239,Massachusetts,USA
B000240,Michigan,USA
B000241,Virginia,USA
B000242,Texas,USA
B000243,New York,USA
B000244,New York,USA
B000245,New Jersey,USA
B000246,Michigan,USA
B000247,Texas,USA
B000248,Virginia,USA
B000249,Virginia,USA
B000250,Virginia,USA
B000251,Ohio,USA
B000252,Illinois,USA
B000253,California,USA
B000254,New York,USA
B000255,North Carolina,USA
B000256,Illinois,USA
B000257,Arizona,USA
B000258,North Carolina,USA
B000259,New York,USA
B000260,North Carolina,USA
B000261,Texas,USA
B000262,Tennessee,USA
B000263,Georgia,USA
B000264,Ohio,USA
B000265,California,USA
B000266,North Carolina,USA
B000267,Michigan,USA
B000268,Illinois,USA
B000269,Texas,USA
B000270,New Jersey,USA
B000271,Florida,USA
B000272,Texas,USA
B000273,Georgia,USA
B000274,California,USA
B000275,Arizona,USA
B000276,Massachusetts,USA
B000277,Arizona,USA
B000278,California,USA
B000279,Massachusetts,USA
B000280,Massachusetts,USA
B000281,Georgia,USA
B000282,Washington,USA
B000283,Georgia,USA
B000284,Ohio,USA
B000285,Washington,USA
B000286,Massachusetts,USA
B000287,Texas,USA
B000288,Massachusetts,USA
B000289,Arizona,USA
B000290,Virginia,USA
B000291,Michigan,USA
B000292,Washington,USA
B000293,Washington,USA
B000294,New York,USA
B000295,Massachusetts,USA
B000296,Illinois,USA
B000297,Florida,USA
B000298,Ohio,USA
B000299,Tennessee,USA
B000300,Arizona,USA
B000301,North Carolina,USA
B000302,New York,USA
B000303,New York,USA
B000304,Tennessee,USA
B000305,Virginia,USA
B000306,New York,USA
B000307,Massachusetts,USA
B000308,Florida,USA
B000309,Michigan,USA
B000310,Illinois,USA
B000311,North Carolina,USA
B000312,Georgia,USA
B000313,North Carolina,USA
B000314,Georgia,USA
B000315,Washington,USA
B000316,Tennessee,USA
B000317,Florida,USA
B000318,Virginia,USA
B000319,Tennessee,USA
B000320,California,USA
B000321,Michigan,USA
B000322,Texas,USA
B000323,Arizona,USA
B000324,California,USA
B000325,New Jersey,USA
B000326,New Jersey,USA
B000327,North Carolina,USA
B000328,Virginia,USA
B000329,Illinois,USA
B000330,Washington,USA
B000331,Massachusetts,USA
B000332,North Carolina,USA
B000333,Arizona,USA
B000334,Michigan,USA
B000335,Ohio,USA
B000336,Virginia,USA
B000337,Florida,USA
B000338,Washington,USA
B000339,Tennessee,USA
B000340,Michigan,USA
B000341,California,USA
B000342,Washington,USA
B000343,Illinois,USA
B000344,Virginia,USA
B000345,Ohio,USA
B000346,Tennessee,USA
B000347,Florida,USA
B000348,New Jersey,USA
B000349,Tennessee,USA
B000350,Tennessee,USA
B000351,New Jersey,USA
B000352,Michigan,USA
B000353,Florida,USA
B000354,Washington,USA
B000355,Arizona,USA
B000356,Ohio,USA
B000357,Tennessee,USA
B000358,Illinois,USA
B000359,California,USA
B000360,Tennessee,USA
B000361,Ohio,USA
B000362,Washington,USA
B000363,Arizona,USA
B000364,North Carolina,USA
B000365,Tennessee,USA
B000366,North Carolina,USA
B000367,North Carolina,USA
B000368,California,USA
B000369,Massachusetts,USA
B000370,Washington,USA
B000371,Georgia,USA
B000372,North Carolina,USA
B000373,Massachusetts,USA
B000374,Georgia,USA
B000375,North Carolina,USA
B000376,North Carolina,USA
B000377,Georgia,USA
B000378,Texas,USA
B000379,California,USA
B000380,Illinois,USA
B000381,Arizona,USA
B000382,Florida,USA
B000383,Virginia,USA
B000384,Georgia,USA
B000385,Georgia,USA
B000386,New York,USA
B000387,Michigan,USA
B000388,Tennessee,USA
B000389,Georgia,USA
B000390,Washington,USA
B000391,Florida,USA
B000392,New Jersey,USA
B000393,Georgia,USA
B000394,Tennessee,USA
B000395,Ohio,USA
B000396,California,USA
B000397,Florida,USA
B000398,Virginia,USA
B000399,Washington,USA
B000400,Washington,USA
B000401,Massachusetts,USA
B000402,New York,USA
B000403,Michigan,USA
B000404,North Carolina,USA
B000405,Washington,USA
B000406,Georgia,USA
B000407,Florida,USA
B000408,Texas,USA
B000409,Illinois,USA
B000410,Georgia,USA
B000411,Texas,USA
B000412,Tennessee,USA
B000413,California,USA
B000414,California,USA
B000415,Arizona,USA
B000416,Florida,USA
B000417,Arizona,USA
B000418,Ohio,USA
B000419,Arizona,USA
B000420,Illinois,USA
B000421,Georgia,USA
B000422,Arizona,USA
B000423,Arizona,USA
B000424,California,USA
B000425,Texas,USA
B000426,California,USA
B000427,California,USA
B000428,Michigan,USA
B000429,North Carolina,USA
B000430,Arizona,USA
B000431,Florida,USA
B000432,Georgia,USA
B000433,New York,USA
B000434,New York,USA
B000435,Ohio,USA
B000436,Florida,USA
B000437,North Carolina,USA
B000438,Massachusetts,USA
B000439,Illinois,USA
B000440,North Carolina,USA
B000441,Georgia,USA
B000442,Tennessee,USA
B000443,New Jersey,USA
B000444,Texas,USA
B000445,Washington,USA
B000446,Washington,USA
B000447,Georgia,USA
B000448,Ohio,USA
B000449,North Carolina,USA
B000450,Texas,USA
B000451,Michigan,USA
B000452,Arizona,USA
B000453,Washington,USA
B000454,Washington,USA
B000455,Arizona,USA
B000456,Illinois,USA
B000457,New Jersey,USA
B000458,Massachusetts,USA
B000459,New York,USA
B000460,New York,USA
B000461,New York,USA
B000462,North Carolina,USA
B000463,Massachusetts,USA
B000464,Michigan,USA
B000465,North Carolina,USA
B000466,Illinois,USA
B000467,Arizona,USA
B000468,Arizona,USA
B000469,Michigan,USA
B000470,North Carolina,USA
B000471,Florida,USA
B000472,New York,USA
B000473,Ohio,USA
B000474,Illinois,USA
B000475,Tennessee,USA
B000476,Florida,USA
B000477,New Jersey,USA
B000478,Arizona,USA
B000479,North Carolina,USA
B000480,Virginia,USA
B000481,Georgia,USA
B000482,New Jersey,USA
B000483,California,USA
B000484,North Carolina,USA
B000485,Tennessee,USA
B000486,Ohio,USA
B000487,Virginia,USA
B000488,Washington,USA
B000489,Michigan,USA
B000490,Washington,USA
B000491,Texas,USA
B000492,Virginia,USA
B000493,North Carolina,USA
B000494,Virginia,USA
B000495,Washington,USA
B000496,Virginia,USA
B000497,California,USA
B000498,Michigan,USA
B000499,Georgia,USA
B000500,Ohio,USA
B000501,Michigan,USA
B000502,Texas,USA
B000503,Virginia,USA
B000504,Michigan,USA
B000505,Tennessee,USA
B000506,Virginia,USA
B000507,Georgia,USA
B000508,Texas,USA
B000509,Washington,USA
B000510,Arizona,USA
B000511,Washington,USA
