BRANCH_CODE,BRANCH_NAME,BRANCH_STREET,BRANCH_CITY,BRANCH_STATE,BRANCH_ZIP,BRANCH_PHONE,LAST_UPDATED
1,Example Bank,Bridle Court,Lakeville,MN,55044,(123) 456-5276,4/18/2018 16:51
2,Example Bank,Washington Street,Huntley,IL,60142,(123) 461-8993,4/18/2018 16:51
3,Example Bank,Warren Street,SouthRichmondHill,NY,11419,(123) 498-5926,4/18/2018 16:51
4,Example Bank,Cleveland Street,Middleburg,FL,32068,(123) 466-3064,4/18/2018 16:51
5,Example Bank,14th Street,KingOfPrussia,PA,19406,(123) 484-9701,4/18/2018 16:51
7,Example Bank,Jefferson Street,Paterson,NJ,07501,(123) 414-4890,4/18/2018 16:51
8,Example Bank,B Street,Pittsford,NY,14534,(123) 467-8272,4/18/2018 16:51
9,Example Bank,Jefferson Court,Wethersfield,CT,06109,(123) 467-5219,4/18/2018 16:51
10,Example Bank,Cambridge Road,NorthOlmsted,OH,44070,(123) 414-5047,4/18/2018 16:51
11,Example Bank,3rd Street West,Hillsborough,NJ,08844,(123) 436-6354,4/18/2018 16:51
12,Example Bank,Mill Road,MadisonHeights,MI,48071,(123) 486-7175,4/18/2018 16:51
14,Example Bank,Washington Street,Oviedo,FL,32765,(123) 493-8460,4/18/2018 16:51
15,Example Bank,Chestnut Street,Mechanicsburg,PA,17050,(123) 446-2043,4/18/2018 16:51
16,Example Bank,Monroe Drive,Plainview,NY,11803,(123) 485-7525,4/18/2018 16:51
17,Example Bank,Railroad Street,Paducah,KY,42001,(123) 454-6360,4/18/2018 16:51
18,Example Bank,Church Street South,Harleysville,PA,19438,(123) 482-4455,4/18/2018 16:51
19,Example Bank,King Street,SilverSpring,MD,20901,(123) 448-4380,4/18/2018 16:51
20,Example Bank,Canterbury Drive,Burnsville,MN,55337,(123) 484-0138,4/18/2018 16:51
21,Example Bank,2nd Avenue,Tacoma,WA,98444,(123) 436-2433,4/18/2018 16:51
22,Example Bank,Front Street South,Carlisle,PA,17013,(123) 492-2492,4/18/2018 16:51
23,Example Bank,Highland Avenue,Duarte,CA,91010,(123) 446-0645,4/18/2018 16:51
24,Example Bank,Grove Street,Redford,MI,48239,(123) 461-7414,4/18/2018 16:51
25,Example Bank,Park Avenue,NewBaltimore,MI,48047,(123) 452-5844,4/18/2018 16:51
26,Example Bank,Chestnut Avenue,LakeJackson,TX,77566,(123) 435-6462,4/18/2018 16:51
